comment,sentiment
Rating,positive
"Placa muito boa rodando todos meus jogos no alto e ultra , melhorou muito o desempenho do meu Pc",neutral
"cumpriu com todas as minhas expectativas, perfeita para 1080p",positive
"Perfeita, Todos, Muito poderosa",positive
"Muito bom, funciona perfeitamente e atende as minhas necessidades.",positive
Muito boa e fria a temperatura da minha nunca passou dos 61°c,positive
"Excelente custo benefício. Testei apenas com alguns jogos mais velhos no momento (Assassin's Creed IV, GTA IV, GTA V, Skyrim) e rodaram todos no ultra em FHD. A placa é fria e silenciosa. Adorei a compra. E também, chegou rápido, antes do prazo.",neutral
"Custo benefício excelente., Entrega bem, frames bons em jogos pesadinhos.",neutral
"Rapidissimo, o custo benefício é ótimo consigo jogar qualquer coisa geralmente no alto, nn faz barulho muito alto eu amei!",positive
"Perfeito, Os fans fazem pouco barulho, são muito silêncios, Não há",negative
"Atendeu minhas expectativas., Silenciosa, fria, bonita e entrega um excelente desempenho., Até o momento nenhum.",neutral
"Estou usando a pouco tempo mas parece muito boa, uso pra jogar PUBG e MIR4",positive
"Não tenho nada do que reclamar, placa sensacional., Custo benefício, qualidade da peça., Ainda não consegui ver nenhum",positive
"Muito boa, roda tudo no full... Deu até pra ver que o Palmeiras não tem mundial no YouTube , Muitos , Nenhum",positive
"Pra quem busca jogar jogos em Full hd com gráficos altos essa é a certa, achei o design lindo, Todos, Nenhum",neutral
"Maravilhosa, Excelente placa de vídeo, aguenta jogos parrudos em gráficos quase no máximos então da conta do recado, forte demais",neutral
"Produto funcionando perfeitamente com ótimos gráficos, Para o preço dele vale super apena, Sem pontos negativos,consome muito pouco,ótima refrigeração, por enquanto estou usando com um kit x99 mais uma fonte de 500w está sendo mais que o suficiente para a configuração.",neutral
"Pela faixa de preço, é o melhor custo-benefício atualmente, principalmente no Brasil. Roda praticamente tudo no mercado em Full HD qualidade alta. O programa da AMD Adrenaline é completo, totalmente customizável até os mínimos detalhes., Desempenho e preço, Nenhum",positive
"Muito boa, consigo rodar tudo em uma boa qualidade, ótimo custo benefício, Placa fria, Muito grande, cuidado com o gabinete",neutral
"Você vai conseguir jogar praticamente tudo em 1080p e 60 dps, claro, dependendo do resto do seu hardware.",neutral
"Placa muito boa, ta rodando tudo no ultra 60 fps cravado com um ryzen 5 5500. Paguei 1400 no cartão em uma promo, perfeitinha., Placa fria, roda todos os jogos em uma ótima qualidade e sem gargalo mesmo em uma placa mae gddr5, O ray tracing é bem fraco, mas nao faz diferença ja que roda tudo no ultra",neutral
Gostei do desepenho,positive
"Produto de extremo custo benefício pelo que consegue entregar. Chegou muito rápido e em dois dias já estava com ela em mãos., Qualidade do material, design e desempenho., Até agora nenhum problema.",positive
"comprei na opção de open Box, valeu a pena, essa placa de vídeo é um monstro e a temperatura, pelo menos na minha configuração, não passa dos 65°.",negative
"E boa, E bem custo beneficio, Não vem nada na caixa além da placa nem parafuso",positive
"Muito boa, performance muito além do esperado, não esquenta muito. Gostei menso. Placa pro meu Pc, Baixo consumo, ótimo desempenho em jogos pesados.",neutral
Placa excelente gostei muito,positive
"Ótima placa,consumo baixo e performance top, Consumo baixo,placa fria, Nenhum",positive
superou as expectativas,positive
Sem contras,positive
"Excelente., Todos, atende perfeitamente o que promete, fiz teste de estresse e rodou tranquilo, placa muito fria., Nenhum.",positive
"A placa de video é otima roda tudo no ultra facil de instalar chegou em ótimo estado, porem demorou 19 dias para chegar, Otimo desempenho, demora",neutral
"Tive um pequeno problema com a placa, entrei em contato com a Kabum e após o envio da placa para avaliação, recebi um nova em folha em menos de 3 dias !! Parabéns a kabum !!! E a ASRock !! Muito satisfeito.",positive
", Quais são os pontos positivos deste produto?, Quais são os pontos negativos deste produto?",negative
"Roda tudo perfeitamente, amei, comprei pra mim e minha esposa e roda tudo pft, jogo Elden ring no ultra sem problemas, aplage tale no ultra e outros jogos super pesados e ela aguenta perfeitamente e nem esquenta muito",neutral
"otima, roda de boa os games no full, .",neutral
Chegou MUITO RÁPIDO! Tá rodando tudo liso,positive
ótima placa,positive
"Achei excelente o desempenho da placa roda tudo no máximo os gráficos ficam muito SHOW.. , Muito potente , Nada",positive
"chegou antes do previsto e ta fazendo um homem feliz, espero q a durabilidade seja daquelas de 1 ano ou mais, linda e deixa o pc parrudo, tive alguns problemas com driver da placa de vídeo congelando o pc mas aparentemente parou após algumas configurações",negative
"Comprei para meu filho, pois a RX queimou, e ele disse que essa é ótima. Está muito satisfeito. Atende perfeitamente e em alto desempenho. Esquenta quase nada.",positive
"Era oque eu esperava., Boa construção, placa bem fria, roda a maioria dos jogos no alto ou ultra., Pontos negativos 8G de VRAM",neutral
"Muito boa, combinei com meu i5 9400f e tô satisfeito com o resultado , Linda dmss, tá funcionando legal, não tá esquentando muito, excelente., Nenhum.",positive
"Muito bom, zerei muito jogo no médio-alto com Ray Tracing e Fidelity FX com um Ryzen 5 2600, Bonita, robusta, não esquenta e foi relativamente barata., Não exatamente com a placa, mas o Software da AMD estava bugadasso na época que a placa chegou, mas passou 3 dias e desde então super de boa.",neutral
Simplesmente entrega um desempenho excelente mesmo em qualidades altas,positive
